Sidra,Number of Verses,Rashi Verse Count,Rashi Comments,Rashi Verse Ratio,Rashi Comment Ratio,Ibn Ezra Verse Count,Ibn Ezra Comments,Ibn Ezra Verse Ratio,Ibn Ezra Comment Ratio,Ramban Verse Count,Ramban Comments,Ramban Verse Ratio,Ramban Comment Ratio,Rashbam Verse Count,Rashbam Comments,Rashbam Verse Ratio,Rashbam Comment Ratio,Sforno Verse Count,Sforno Comments,Sforno Verse Ratio,Sforno Comment Ratio
Ha'Azinu,52,49,174,0.9423076923076923,3.3461538461538463,48,146,0.9230769230769231,2.8076923076923075,20,20,0.38461538461538464,0.38461538461538464,37,65,0.7115384615384616,1.25,40,100,0.7692307692307693,1.9230769230769231
Bereshit,146,98,211,0.6712328767123288,1.4452054794520548,98,162,0.6712328767123288,1.1095890410958904,65,70,0.4452054794520548,0.4794520547945205,124,148,0.8493150684931506,1.0136986301369864,89,164,0.6095890410958904,1.1232876712328768
Noach,153,96,177,0.6274509803921569,1.1568627450980393,73,125,0.477124183006536,0.8169934640522876,44,44,0.2875816993464052,0.2875816993464052,32,32,0.20915032679738563,0.20915032679738563,54,82,0.35294117647058826,0.5359477124183006
Lech-Lecha,126,109,204,0.8650793650793651,1.619047619047619,79,131,0.626984126984127,1.0396825396825398,63,64,0.5,0.5079365079365079,37,37,0.29365079365079366,0.29365079365079366,72,120,0.5714285714285714,0.9523809523809523
Vayera,147,112,238,0.7619047619047619,1.619047619047619,71,96,0.48299319727891155,0.6530612244897959,56,57,0.38095238095238093,0.3877551020408163,126,148,0.8571428571428571,1.0068027210884354,83,130,0.564625850340136,0.8843537414965986
Chayei Sara,105,70,108,0.6666666666666666,1.0285714285714285,50,74,0.47619047619047616,0.7047619047619048,31,31,0.29523809523809524,0.29523809523809524,101,121,0.9619047619047619,1.1523809523809523,51,92,0.4857142857142857,0.8761904761904762
Toldot,106,72,135,0.6792452830188679,1.2735849056603774,53,78,0.5,0.7358490566037735,34,34,0.32075471698113206,0.32075471698113206,106,135,1.0,1.2735849056603774,53,86,0.5,0.8113207547169812
Vayetzei,148,108,196,0.7297297297297297,1.3243243243243243,81,114,0.5472972972972973,0.7702702702702703,48,48,0.32432432432432434,0.32432432432432434,143,169,0.9662162162162162,1.1418918918918919,86,139,0.581081081081081,0.9391891891891891
Vayishlach,153,96,168,0.6274509803921569,1.0980392156862746,63,95,0.4117647058823529,0.6209150326797386,60,60,0.39215686274509803,0.39215686274509803,147,167,0.9607843137254902,1.091503267973856,71,100,0.46405228758169936,0.6535947712418301
Vayeshev,112,80,140,0.7142857142857143,1.25,63,91,0.5625,0.8125,46,46,0.4107142857142857,0.4107142857142857,103,128,0.9196428571428571,1.1428571428571428,65,102,0.5803571428571429,0.9107142857142857
Miketz,146,100,174,0.684931506849315,1.1917808219178083,63,96,0.4315068493150685,0.6575342465753424,39,39,0.2671232876712329,0.2671232876712329,143,159,0.9794520547945206,1.0890410958904109,69,100,0.4726027397260274,0.684931506849315
Vayigash,106,62,91,0.5849056603773585,0.8584905660377359,35,44,0.330188679245283,0.41509433962264153,37,37,0.3490566037735849,0.3490566037735849,103,116,0.9716981132075472,1.0943396226415094,51,71,0.4811320754716981,0.6698113207547169
Vayechi,85,65,160,0.7647058823529411,1.8823529411764706,55,104,0.6470588235294118,1.223529411764706,29,31,0.3411764705882353,0.36470588235294116,85,149,1.0,1.7529411764705882,51,107,0.6,1.2588235294117647
Shemot,124,89,170,0.717741935483871,1.3709677419354838,119,186,0.9596774193548387,1.5,41,62,0.33064516129032256,0.5,68,108,0.5483870967741935,0.8709677419354839,78,131,0.6290322580645161,1.0564516129032258
Vaera,121,80,117,0.6611570247933884,0.9669421487603306,115,153,0.9504132231404959,1.2644628099173554,34,46,0.2809917355371901,0.38016528925619836,51,57,0.4214876033057851,0.47107438016528924,53,76,0.4380165289256198,0.628099173553719
Bo,106,86,198,0.8113207547169812,1.8679245283018868,102,146,0.9622641509433962,1.3773584905660377,47,62,0.44339622641509435,0.5849056603773585,57,80,0.5377358490566038,0.7547169811320755,37,56,0.3490566037735849,0.5283018867924528
Beshalach,116,97,214,0.8362068965517241,1.8448275862068966,110,196,0.9482758620689655,1.6896551724137931,46,60,0.39655172413793105,0.5172413793103449,69,113,0.5948275862068966,0.9741379310344828,71,140,0.6120689655172413,1.206896551724138
Yitro,75,67,167,0.8933333333333333,2.2266666666666666,68,128,0.9066666666666666,1.7066666666666668,46,65,0.6133333333333333,0.8666666666666667,47,62,0.6266666666666667,0.8266666666666667,58,104,0.7733333333333333,1.3866666666666667
Mishpatim,118,109,268,0.923728813559322,2.2711864406779663,110,171,0.9322033898305084,1.4491525423728813,57,73,0.4830508474576271,0.6186440677966102,79,133,0.6694915254237288,1.1271186440677967,61,111,0.5169491525423728,0.940677966101695
Terumah,96,76,166,0.7916666666666666,1.7291666666666667,63,83,0.65625,0.8645833333333334,16,16,0.16666666666666666,0.16666666666666666,52,83,0.5416666666666666,0.8645833333333334,24,29,0.25,0.3020833333333333
Tetzaveh,101,83,190,0.8217821782178217,1.881188118811881,69,94,0.6831683168316832,0.9306930693069307,24,28,0.2376237623762376,0.27722772277227725,38,55,0.37623762376237624,0.5445544554455446,21,32,0.2079207920792079,0.31683168316831684
Ki Tisa,139,119,250,0.8561151079136691,1.7985611510791366,116,179,0.8345323741007195,1.2877697841726619,58,78,0.4172661870503597,0.5611510791366906,55,74,0.39568345323741005,0.5323741007194245,68,133,0.4892086330935252,0.9568345323741008
Vayikra,111,77,191,0.6936936936936937,1.7207207207207207,57,98,0.5135135135135135,0.8828828828828829,29,29,0.26126126126126126,0.26126126126126126,36,46,0.32432432432432434,0.4144144144144144,8,10,0.07207207207207207,0.09009009009009009
Tzav,97,60,112,0.6185567010309279,1.1546391752577319,53,75,0.5463917525773195,0.7731958762886598,26,26,0.26804123711340205,0.26804123711340205,16,22,0.16494845360824742,0.2268041237113402,6,7,0.061855670103092786,0.07216494845360824
Shmini,91,68,149,0.7472527472527473,1.6373626373626373,66,113,0.7252747252747253,1.2417582417582418,34,34,0.37362637362637363,0.37362637362637363,30,44,0.32967032967032966,0.4835164835164835,21,25,0.23076923076923078,0.27472527472527475
Emor,124,96,215,0.7741935483870968,1.7338709677419355,95,152,0.7661290322580645,1.2258064516129032,39,39,0.31451612903225806,0.31451612903225806,31,36,0.25,0.2903225806451613,48,60,0.3870967741935484,0.4838709677419355
Bamidbar,159,53,79,0.3333333333333333,0.4968553459119497,73,114,0.4591194968553459,0.7169811320754716,17,19,0.1069182389937107,0.11949685534591195,16,20,0.10062893081761007,0.12578616352201258,29,42,0.18238993710691823,0.2641509433962264
Nasso,176,74,162,0.42045454545454547,0.9204545454545454,55,96,0.3125,0.5454545454545454,18,20,0.10227272727272728,0.11363636363636363,23,28,0.13068181818181818,0.1590909090909091,37,59,0.21022727272727273,0.3352272727272727
Beha'alotcha,136,90,187,0.6617647058823529,1.375,96,189,0.7058823529411765,1.3897058823529411,33,36,0.2426470588235294,0.2647058823529412,29,43,0.21323529411764705,0.3161764705882353,61,103,0.4485294117647059,0.7573529411764706
Sh'lach,119,79,140,0.6638655462184874,1.1764705882352942,67,109,0.5630252100840336,0.9159663865546218,29,31,0.24369747899159663,0.2605042016806723,28,41,0.23529411764705882,0.3445378151260504,47,77,0.3949579831932773,0.6470588235294118
Korach,95,58,111,0.6105263157894737,1.168421052631579,67,112,0.7052631578947368,1.1789473684210525,24,25,0.25263157894736843,0.2631578947368421,32,40,0.3368421052631579,0.42105263157894735,36,55,0.37894736842105264,0.5789473684210527
